	F01	F02	F03	F04	F05	F06
GO:0004143	9	10	9	17	19	19
GO:0004144	6	2	2	6	1	4
GO:0004145	1	2	1	10	5	6
GO:0004146	4	3	6	8	6	4
GO:0004148	16	20	20	35	37	50
GO:0004149	10	8	3	8	7	8
GO:0004150	8	7	9	17	15	18
GO:0004151	15	16	18	22	24	32
GO:0004152	10	13	12	26	39	42
GO:0004156	20	12	17	25	33	43
GO:0004157	1	2	3	1	1	0
GO:0004159	1	2	2	7	5	8
GO:0004160	10	11	9	22	40	53
GO:0004161	8	6	5	10	6	6
GO:0004163	2	2	3	2	1	3
GO:0004164	0	0	0	1	3	5
GO:0004165	4	3	7	6	5	6
GO:0004166	0	3	0	2	2	4
GO:0004167	1	1	1	0	0	0
GO:0004168	0	0	0	0	0	1
GO:0004169	6	7	2	17	15	17
GO:0004170	8	9	7	19	20	25
GO:0004174	9	4	4	9	7	8
GO:0004175	15	11	14	45	41	60
GO:0004176	56	58	40	121	96	125
GO:0004177	43	61	68	144	117	143
GO:0004180	26	26	37	78	48	53
GO:0004181	3	10	10	19	18	14
GO:0004185	4	6	3	4	2	9
GO:0004190	21	23	19	40	66	101
GO:0004197	2	3	2	6	7	9
GO:0004198	0	0	0	3	1	2
GO:0004222	124	132	107	223	212	257
GO:0004252	171	202	157	395	343	377
GO:0004298	24	24	20	31	29	41
GO:0004300	51	52	47	76	64	62
GO:0004301	3	8	9	15	10	6
GO:0004303	2	2	1	2	1	1
GO:0004306	0	0	1	2	0	0
GO:0004307	0	0	0	1	0	2
GO:0004308	0	0	0	0	0	1
GO:0004309	7	7	6	8	8	8
GO:0004310	8	11	6	8	7	8
GO:0004311	5	2	3	15	9	13
GO:0004312	3	3	3	1	3	9
GO:0004313	0	0	0	2	5	6
GO:0004314	11	17	16	22	34	52
GO:0004315	55	65	52	107	102	117
GO:0004316	60	73	62	144	128	172
GO:0004317	18	24	20	35	32	39
GO:0004318	12	16	12	18	20	23
GO:0004320	1	2	0	2	6	6
GO:0004321	6	3	3	6	3	8
GO:0004322	3	3	4	8	10	6
GO:0004324	12	13	21	48	51	61
GO:0004325	8	9	8	17	6	5
GO:0004326	10	16	18	25	26	37
GO:0004328	10	6	4	18	20	27
GO:0004329	7	5	7	18	19	26
GO:0004332	17	20	18	51	64	74
